ID 	Type	Author/editor	Title	Subtitle	Description	VolumeDetails	EditorTranslator	Periodical	VolNo	No.ofVols	PlaceOfPublication	Publisher	Date(year)	Date(month)	Date(full)	PageRange	CrossRef	Index?
ref72	"Periodical:journal:article"	"H. H. Henson "  "The prospects of Christian reunion"  ""  ""  ""  "Christian World"  ""  ""  ""  ""  ""  ""  ""  ""  ""  
ref74	"Book:monograph"	"C. R. L. Fletcher"  "An introductory history of England "  ""  ""  ""  ""  ""  "5 vols"  "London"  ""  ""  ""  ""  ""  ""  
ref75	"Other:Letter:letter"	"H. H. Henson"  "Religious education"  ""  ""  ""  "Times"  ""  ""  ""  ""  ""  ""  ""  "4"  ""  
ref76	"Book:monograph"	"H. H. Henson "  "Studies in English religion in the seventeenth century. St. Margaret's lectures, 1903. "  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref77	"Book:sermons"	"H. H. Henson "  "Religion in the schools"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref78	"Book:sermons"	"H. H. Henson "  "The national church"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref79	"Book:sermons"	"H. H. Henson "  "Christ and the nation"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref80	"Book:sermons"	"H. H. Henson "  "The road to unity"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref81	"Book:sermons"	"H. H. Henson "  "Westminster sermons"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref82	"Book:monograph"	"H. H. Henson "  "Puritanism in England"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref83	"Book:sermons"	"H. H. Henson "  "The creed in the pulpit"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref84	"Book:sermons"	"H. H. Henson "  "War-time sermons"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref85	"Book:monograph"	"H. H. Henson "  "Robertson of Brighton, 1816-1853"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
ref86	"Book:sermons"	"H. H. Henson "  "The liberty of prophesying, with its just limits and temper considered with reference to the circumstances of the modern church. Lyman Beecher lectures delivered 1909, before the Yale Divinity School, and three sermons"  ""  ""  ""  ""  ""  ""  "London"  ""  ""  ""  ""  ""  ""  
